Average_of_Ratings,Average_Number_of_Reviews,Total_Number_of_Reviews,Total_Returned,Data_License
4.73,13,39,3,0
4.5,131,131,1,1050
4.3,4,4,1,2131
4.1,9,9,1,3933
4.3,527,1054,2,6503
4.37,260.67,782,3,7214
4.47,821.5,4929,6,10916
3.9,294,294,1,12380
4.2,18,18,1,22281
1.8,21,42,2,22601
4.5,476,476,1,22676
2.3,17,17,1,22761
4,15,15,1,22801
3.7,17,17,1,23261
4.2,295,295,1,23369
4.9,10,10,1,23971
4.57,277.67,833,3,25946
3.5,4,8,2,26651
4.7,15,15,1,27480
4.6,93,93,1,27835
3.9,56,56,1,28489
4,45,90,2,29401
3.5,505.5,1011,2,30962
3.75,648.25,5186,8,31036
4.6,54,54,1,31782
4.3,101,101,1,33511
4.8,348,348,1,36126
4.4,188,376,2,38964
4.01,513.43,3594,7,41897
4.15,87.5,175,2,42618
3.9,68,68,1,48972
4.2,109,218,2,57689
4.3,80,80,1,67609
4.3,265,530,2,68487
3.6,32,32,1,69457
4.3,1021,6126,6,69608
4.3,9,9,1,70743
4.6,78,78,1,72501
3.28,486.6,2433,5,75437
4.25,209,418,2,78302
3.9,579,579,1,80290
4.1,137,274,2,1145606
4.2,35,35,1,1223250
4.4,37,37,1,1358027
4.6,10,10,1,1380524
4.5,533,533,1,1492765
3.7,70,70,1,1493295
4.6,350,350,1,1495075
4.6,148,148,1,1542917
4.4,149,298,2,1592986
2.59,17.57,123,7,1698639
4.5,686,686,1,1738519
4.1,274,548,2,1741003
4.6,59,59,1,1768994
4.4,24,24,1,1770127
4.4,35,35,1,1802424
4.4,222,222,1,1803742
4.4,204.5,409,2,1817276
4.6,25,25,1,1817934
4.6,107,107,1,1821756
4.2,303.33,910,3,1823622
4.7,121,121,1,1841301
4.88,137.25,549,4,1842767
4.4,31,62,2,1844144
3,3,3,1,1878441
4.65,16.5,33,2,1878475
4.6,234,234,1,1902989
4.7,3552,3552,1,1916618
4.2,5,5,1,1937785
4.4,298,596,2,1953757
3.4,339,339,1,1959502
1.95,7.5,15,2,1964807
3.9,546,546,1,1968904
4.6,319,319,1,1969955
4.2,317,317,1,1980154
3.4,48,48,1,1980651
4.7,87,87,1,1981908
0,0,0,3,1985220
3.7,94,94,1,1986439
3.12,68.5,274,4,1998846
4.1,164,164,1,1998968
4.1,82,82,1,2013419
4.3,502,502,1,2022125
4.6,10,10,1,2040649
4.4,17,17,1,2040661
3.8,25,25,1,2040683
4.2,302,604,2,2043260
4.45,95,380,4,2059922
4.6,219,438,2,2079685
4.4,84,84,1,2088718
4.11,517,4136,8,2094011
3.32,4.5,18,4,2102640
4.4,70,70,1,2109251
4.7,9,9,1,2114749
4.8,5,5,1,2114895
4.8,360,360,1,2134292
4.35,166,332,2,2137188
4.3,160,160,1,2157363
3.7,151,151,1,2157766
4.1,8,8,1,2177832
4.45,164.5,329,2,2177836
4.3,839,1678,2,2184967
4.1,133,133,1,2195981
4.2,496,496,1,2202278
4,434,434,1,2202308
3.9,167,167,1,2202395
3.8,35,35,1,2202622
4.3,7,7,1,2206836
1.5,1,2,2,2211455
3.5,8,8,1,2215472
2.83,6,18,3,2215610
2.2,2,8,4,2215620
0,0,0,1,2215809
4.9,27,27,1,2215838
0,0,0,1,2215884
5,6,6,1,2215893
4.4,7,14,2,2215932
0,0,0,2,2215984
4.4,9.5,19,2,2216002
4.65,36,72,2,2216030
5,2,2,1,2216100
0,0,0,1,2221191
4.5,429,429,1,2221636
4.1,101,101,1,2225302
4.5,904,904,1,2229533
5,1,1,1,2232538
2.5,25,25,1,2245580
4.3,286,286,1,2245840
4.23,270,810,3,2252227
3.85,47,188,4,2271372
3.6,17,34,2,2289372
4.5,162,162,1,2289529
4.2,104,104,1,2293923
4.35,187.5,375,2,2294282
4.7,1432,1432,1,2298331
4.6,2573,2573,1,2299114
4.3,85,85,1,2303640
4.2,37,74,2,2304758
4,137,274,2,2308003
4.38,938,8442,9,2314545
4.6,17,17,1,2314597
4.6,398,796,2,2333622
4.6,157,157,1,2341067
4.4,874,874,1,2341098
2.25,54.5,109,2,2348764
4.6,9,18,2,2355266
4.1,77,154,2,2358944
4.8,1594,1594,1,2358986
4.6,183,183,1,2363811
4.1,164,164,1,2364283
3.85,113,452,4,2373877
4.6,1047,1047,1,2374705
4.4,101.5,203,2,2379981
5,1,1,1,2385784
4.2,346,346,1,2386048
4.5,260,260,1,2392091
5,3,6,2,2394824
4.7,41,41,1,2397260
4.2,267,267,1,2397526
4.4,633,633,1,2404371
4.5,96.5,193,2,2404396
4.2,154,154,1,2404722
4.4,113,226,2,2405902
4.88,3.75,15,4,2411687
4.6,518,518,1,2412516
4.9,27,27,1,2418331
4.5,585,585,1,2419455
4.4,381,762,2,2422801
3.5,80,80,1,2422984
4.05,2080,4160,2,2423912
4.6,106,106,1,2429057
4.6,378,378,1,2437247
4.15,625.5,1251,2,2437275
2.1,2.5,5,2,2446479
4.3,839,1678,2,2446779
3.5,31,31,1,2446871
4.2,71,71,1,2446994
4.8,58,58,1,2447134
4.1,634,1902,3,2451378
3.75,308,1232,4,2451966
4.3,548,548,1,2458402
5,5,5,1,2463091
0,0,0,1,2476381
4.2,43,43,1,2483908
4.6,8,8,1,2487637
4.8,88,88,1,2488682
4.6,130,260,2,2488830
4.8,125,250,2,2492802
4.6,40,40,1,2495771
4.6,373,373,1,2496025
3.8,118,118,1,2496153
4.1,75,75,1,2496427
4.3,45,45,1,2501188
4.6,558.25,2233,4,2510693
4.58,8.6,43,5,2516680
4.3,328,328,1,2517205
4.3,723,2892,4,2518015
4.6,83,83,1,2522334
3.1,36,72,2,2523672
4.5,231,231,1,2528493
4.4,1360,1360,1,2528511
0,0,0,1,2528595
4.5,8,16,2,2529177
2.5,6,12,2,2529764
4.2,70,70,1,2535459
4.1,48,48,1,2541853
4.1,56,56,1,2550253
4.65,36,72,2,2550659
4.4,351,351,1,2551920
0,0,0,1,2555908
4.5,6,6,1,2555919
4.2,281,562,2,2556107
4.56,144.6,723,5,2560363
4.4,41,246,6,2563433
3.93,365.33,1096,3,2564709
4.35,250,1000,4,2569420
4.3,34,34,1,2578261
4.38,261.44,2353,9,2578374
2.9,49,49,1,2583393
4.5,119,119,1,2583408
4.5,119,119,1,2583411
5,27,27,1,2583931
3.93,144,432,3,2589073
4.3,7,7,1,2589092
4.37,350.67,2104,6,2589605
4.6,135,135,1,2590204
4.5,967,967,1,2600522
4.4,36,36,1,2600751
4.35,223,892,4,2600906
4.8,76,76,1,2601569
4.6,28,28,1,2608056
4.3,175,525,3,2608171
4.3,47,47,1,2609439
5,66,66,1,2609440
0,0,0,1,2609641
3.74,72.62,581,8,2615645
4.4,57,57,1,2616696
4.5,89,89,1,2617180
0,0,0,1,2617364
4.4,194,388,2,2626305
4,146,292,2,2626774
4.8,25,25,1,2627555
4.6,40,40,1,2630707
4.3,68,136,2,2632018
5,13,13,1,2641367
5,13,13,1,2641368
5,13,13,1,2641369
4.4,39,39,1,2641480
4.4,39,39,1,2641483
5,7,7,1,2642149
0,0,0,1,2642186
3.09,2.25,18,8,2646756
5,1,2,2,2647920
5,1,2,2,2647921
3.54,10.11,91,9,2652697
4.1,384,384,1,2652916
4.33,606.67,1820,3,2652969
5,2,2,1,2658060
4.2,154,154,1,2658305
0,0,0,1,2658446
3.8,22,88,4,2663543
3.09,2.25,18,8,2664090
5,3,3,1,2664105
3.18,3.89,35,9,2664128
4.2,163,163,1,2665045
1.57,7,21,3,2665419
4.3,86,258,3,2670817
4.3,86,258,3,2670818
4.2,59,118,2,2671036
1.57,7,21,3,2671110
1.57,7,21,3,2671111
1.57,7,21,3,2671113
1.57,7,21,3,2671117
1.57,7,21,3,2671118
3.1,1119.33,3358,3,2671182
3.1,1119.33,3358,3,2671183
3.96,20.4,102,5,2671463
3.96,20.4,102,5,2671466
4.4,226,226,1,2671528
4.28,171,1368,8,2677149
4.24,447.6,2238,5,2677167
4.24,447.6,2238,5,2677168
2.5,2,8,4,2677227
