address,aka_name,facility_type,inspection_date,inspection_id,inspection_type,latitude,license_,longitude,results,risk,violation_count,average_violations_per_inspection,times_inspected
3624 W WRIGHTWOOD AVE ,NECESSARY & SUFFICIENT COFFEE,Restaurant,2019-09-17,2312415,License Re-Inspection,41.928351529514096,2677227.0,-87.71809710408121,Pass w/ Conditions,Risk 1 (High),3,5.083333333333333,24.0
311 S WACKER DR ,SKY DINE 311,Restaurant,2019-09-17,2312410,License,41.877791648104406,2670530.0,-87.63652434443534,Pass w/ Conditions,Risk 3 (Low),0,,
1812-1814 W IRVING PARK RD ,I-CAFE SUKUR'S PLACE,Restaurant,2019-09-17,2312405,Canvass Re-Inspection,41.95431818306882,2333622.0,-87.67476031983938,Pass w/ Conditions,Risk 1 (High),1,,
11601 W TOUHY AVE ,MCDONALD'S  (T3 HK FOOD COURT),Restaurant,2019-09-17,2312434,Canvass,42.008536400868735,1140128.0,-87.91442843927048,Pass,Risk 1 (High),5,,
2300 S THROOP ST ,LA CHAPARRITA,Mobile Food Preparer,2019-09-17,2312417,License,41.85045102427,2689521.0,-87.65879785567869,No Entry,Risk 2 (Medium),0,,
131 S DEARBORN ST ,CONVENE,Restaurant,2019-09-17,2312441,License,41.879885440300995,2665419.0,-87.62921159480324,Pass,Risk 3 (Low),0,,
6158 N CLARK ST ,ALEXANDER'S,Restaurant,2019-09-17,2312390,License Re-Inspection,41.994391180074615,2684666.0,-87.67029582459736,Pass w/ Conditions,Risk 1 (High),5,,
4001 W WASHINGTON BLVD ,T&T'S RED HOTS,Restaurant,2019-09-16,2312329,License Re-Inspection,41.88184591068643,2600832.0,-87.7258541523999,Pass,Risk 2 (Medium),0,,
1010 S DELANO CT ,PACINOS,Restaurant,2019-09-16,2312357,License Re-Inspection,,2683667.0,,Pass,Risk 1 (High),0,,
1010 S DELANO CT ,PACINOS,Restaurant,2019-09-16,2312358,License Re-Inspection,,2683668.0,,Pass,Risk 3 (Low),0,,
7904 S VINCENNES AVE ,KING GYROS,Restaurant,2019-09-16,2312372,Canvass,41.7506195104644,2564709.0,-87.6344092993733,Fail,Risk 2 (Medium),16,,
