license_,avg_violations,times_inspected
2677227.0,4.0,3.0
2670530.0,0.0,2.0
2333622.0,11.0,2.0
1140128.0,5.0,3.0
2689521.0,0.0,2.0
2665419.0,0.0,1.0
2684666.0,7.5,2.0
2600832.0,0.0,1.0
2683667.0,7.5,2.0
2683668.0,0.0,2.0
2564709.0,16.0,1.0
2627322.0,7.0,1.0
2569868.0,3.0,1.0
2040683.0,0.0,1.0
2657753.0,3.0,1.0
2608331.0,9.0,1.0
10916.0,2.0,2.0
2516680.0,1.0,1.0
2677669.0,9.0,3.0
22761.0,2.0,1.0
2683391.0,0.0,1.0
2501188.0,0.0,1.0
2569420.0,17.0,2.0
2022125.0,7.0,1.0
23081.0,5.0,1.0
13976.0,7.666666666666667,3.0
2689697.0,5.5,2.0
2211455.0,0.0,1.0
2289529.0,5.5,2.0
23971.0,4.0,1.0
2683669.0,0.0,2.0
2215893.0,1.0,1.0
2677672.0,0.0,2.0
2677671.0,0.0,2.0
1493295.0,0.0,1.0
1769881.0,14.0,1.0
2364283.0,7.0,1.0
2689806.0,0.0,1.0
3096670.0,0.5,2.0
2663728.0,5.5,2.0
2496153.0,4.0,1.0
22801.0,4.0,1.0
26651.0,3.5,2.0
2689420.0,6.0,2.0
1516376.0,3.3333333333333335,3.0
1382934.0,0.0,1.0
68487.0,6.0,2.0
2689695.0,1.5,2.0
1247262.0,6.5,2.0
1648670.0,2.0,1.0
41897.0,1.0,1.0
2202622.0,2.0,1.0
1592986.0,14.5,2.0
2363811.0,0.0,1.0
2689944.0,20.0,1.0
2689893.0,0.0,1.0
2121132.0,2.3333333333333335,3.0
1817276.0,8.0,1.0
2360157.0,4.0,1.0
1495075.0,9.5,2.0
2684069.0,4.0,2.0
2221636.0,9.0,2.0
2394824.0,0.0,1.0
2422801.0,13.0,2.0
2677149.0,0.5,2.0
2684853.0,0.0,2.0
2303640.0,6.0,1.0
2689937.0,4.0,1.0
2641483.0,0.0,1.0
2641480.0,5.0,1.0
2683659.0,0.0,1.0
2689051.0,9.0,1.0
2293923.0,4.0,1.0
2683658.0,0.0,1.0
2677462.0,0.0,1.0
2652969.0,4.333333333333333,3.0
2496427.0,7.0,3.0
2609440.0,4.0,1.0
1542917.0,6.0,1.0
33511.0,11.0,1.0
2059922.0,4.5,2.0
2678018.0,0.0,2.0
2289372.0,5.0,2.0
2689644.0,4.5,2.0
2446871.0,14.0,1.0
